STCOU,Land_mass
31109,846.73
31111,2575.27
31113,571.18
31115,571.06
31117,860.06
31119,575.09
31121,494.39
31123,1429.92
31125,448.08
31127,411.91
31129,576
31131,619.12
31133,432.97
31135,884.33
31137,540.62
31139,575.31
31141,689.13
31143,441.13
31145,718.1
31147,555.98
31149,1011.91
31151,576.08
31153,247.29
31155,758.91
31157,745.57
31159,575.74
31161,2470.12
31163,571.66
31165,2067.43
31167,431.08
31169,575.36
31171,713.69
31173,396.27
31175,570.54
31177,393.79
31179,443.52
31181,575.04
31183,575.61
31185,576.04
32000,110566.91
32001,5023.65
32003,8091.05
32005,737.67
32007,17204.04
32009,3589.19
32011,4180.25
32013,9658.42
32015,5519.64
32017,10637.44
32019,2016.49
32021,3813.17
32023,18159.71
32027,6067.89
32029,263.81
32031,6551.48
32033,8897.17
32510,155.85
33000,9350.93
33001,468.59
33003,992.32
33005,729.21
33007,1831.72
33009,1750.3
33011,892.28
33013,956.56
33015,794.04
33017,383.95
33019,551.98
34000,8721.95
34001,671.47
34003,246.82
34005,819.48
34007,227.59
34009,620.29
34011,676.57
34013,129.59
34015,337
34017,62.26
34019,437.85
34021,228.87
34023,322.65
34025,665.34
34027,481.36
34029,915.9
34031,197.07
34033,372.54
34035,305.07
34037,535.96
34039,105.46
34041,362.78
35000,121598.23
35001,1168.77
35003,6929.49
35005,6075.6
35006,4542.07
35007,3768.29
35009,1407.78
35011,2334.02
35013,3814.88
35015,4197.8
35017,3967.79
35019,3031.81
35021,2126.1
35023,3446.2
35025,4394.33
35027,4831.64
35028,109.35
35029,2965.5
35031,5455.62
35033,1933.6
35035,6627.84
35037,2881.98
35039,5896.53
35041,2455.08
35043,3714.65
35045,5538.71
35047,4736
35049,1910.95
35051,4236.59
35053,6649.06
35055,2204.77
35057,3346.1
35059,3831
35061,1068.29
36000,54474.56
36001,533.47
36003,1034.48
36005,57.42
36007,715.5
36009,1322.33
36011,778.93
36013,1500.19
36015,410.81
36017,898.76
36019,1117.68
36021,648.32
36023,501.55
36025,1468.11
36027,825.43
36029,1226.97
36031,1916.62
36033,1697.54
36035,532.94
36037,495.37
36039,658.19
36041,1807.9
36043,1458.46
36045,1857.35
36047,96.87
36049,1289.99
36051,640.49
36053,661.56
36055,1365.95
36057,410.35
36059,453.32
36061,33.68
36063,1139.89
36065,1257.16
36067,805.73
36069,662.46
36071,838.58
36073,817.53
36075,1312.22
36077,1015.24
36079,246.27
36081,177.35
36083,665.46
36085,102.62
36087,199.36
36089,2821.61
36091,843.78
36093,209.64
36095,626.18
36097,346.16
36099,390.53
36101,1404.17
36103,2373.39
36105,996.93
36107,522.94
36109,491.65
36111,1160.82
36113,931.73
36115,845.91
36117,1384.18
36119,500.21
36121,596.48
36123,371.85
37000,53821.35
37001,434.8
37003,263.29
37005,235.52
37007,537.17
